Continent,Gender,Age,Age ID,Year,Population
Africa,Male,65-69,14,1950,1.547
Africa,Male,65-69,14,2000,5.398
Africa,Male,65-69,14,2050,26.658
Africa,Male,70-74,15,1950,0.981
Africa,Male,70-74,15,2000,3.58
Africa,Male,70-74,15,2050,18.281
Africa,Male,75-79,16,1950,0.499
Africa,Male,75-79,16,2000,2.049
Africa,Male,75-79,16,2050,11.04
Africa,Male,80-84,17,1950,0.211
Africa,Male,80-84,17,2000,0.89
Africa,Male,80-84,17,2050,5.588
Africa,Male,85-89,18,1950,0.06
Africa,Male,85-89,18,2000,0.258
Africa,Male,85-89,18,2050,2.192
Africa,Male,90+,19,1950,0.014
Africa,Male,90+,19,2000,0.048
Africa,Male,90+,19,2050,0.673
