ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
13,Georgia,GA,33.247875,-83.441162,7.5,0.5,8,1,Tifton,1,Apc,0,27,10YR 4/2,"rgb(111, 95, 76)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,2,Btc1,27,55,7.5YR 5/8,"rgb(171, 109, 39)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,3,btc2,55,101,10YR 5/6,"rgb(157, 115, 55)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,4,Btv1,101,127,10YR 5/8,"rgb(164, 113, 27)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,5,btv2,127,152,10YR 5/8,"rgb(164, 113, 27)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,6,BCt,152,165,7.5YR 5/6,"rgb(163, 113, 63)"
13,Georgia,,33.247875,-83.441162,7.5,0.5,8,1,Tifton,7,C,165,203,7.5YR 5/8,"rgb(171, 109, 39)"
15,Hawaii,HI,19.741755,-155.844437,0,0,0,1,Hilo,1,Ap1,0,18,7.5YR 3/4,"rgb(98, 66, 38)"
15,Hawaii,,19.741755,-155.844437,0,0,0,1,Hilo,2,Ap2,18,46,5YR 3/3,"rgb(94, 65, 50)"
15,Hawaii,,19.741755,-155.844437,0,0,0,1,Hilo,3,Bw1,46,66,5YR 3/3,"rgb(94, 65, 50)"
15,Hawaii,,19.741755,-155.844437,0,0,0,1,Hilo,4,Bw2,66,84,5YR 3/4,"rgb(101, 64, 42)"
15,Hawaii,,19.741755,-155.844437,0,0,0,1,Hilo,5,Bw3,84,150,5YR 3/4,"rgb(101, 64, 42)"
16,Idaho,ID,44.068203,-114.742043,1.5,2.5,2,5,Threebear,1,Oi,0,2.54,10YR 2/1,"rgb(54, 48, 41)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,2,A,2.54,7.62,10YR 5/4,"rgb(148, 118, 79)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,3,Bw1,7.62,25.4,10YR 5/4,"rgb(148, 118, 79)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,4,Bw2,25.4,45.72,10YR 6/4,"rgb(174, 144, 104)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,5,2E/Bt,45.72,66.04,10YR 7/3,"rgb(194, 170, 139)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,6,2Bt/E1,66.04,88.9,10YR 6/4,"rgb(174, 144, 104)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,7,2Bt/E2,88.9,101.6,10YR 6/4,"rgb(174, 144, 104)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,8,2Btxb1,101.6,139.7,10YR 6/4,"rgb(174, 144, 104)"
16,Idaho,,44.068203,-114.742043,1.5,2.5,2,5,Threebear,9,2Btxb2,139.7,175.26,10YR 6/4,"rgb(174, 144, 104)"
17,Illinois,IL,40,-89,5.5,2.5,6,4,Drummer,1,Ap,0,18,10YR 2/1,"rgb(54, 48, 41)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,2,A,18,36,10YR 2/1,"rgb(54, 48, 41)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,3,BA,36,48,10YR 3/1,"rgb(79, 70, 61)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,4,Bg,48,64,10YR 4/1,"rgb(103, 95, 84)"
